donch_len,vol_min_mult,tp1_fee_mult,tp2_fee_mult,trades,gross_pnl,fees,net_pnl,win_rate,profit_factor,tp1_hit_pct,tp2_hit_pct,signals,entries,expired,trades_per_month
10,2.0,1.5,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
10,2.0,2.0,4.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
10,2.0,2.0,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
10,2.0,1.5,5.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
15,2.0,1.5,5.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
15,2.0,2.0,4.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
15,2.0,2.0,5.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
15,2.0,1.5,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
15,2.0,2.0,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
20,2.0,1.5,5.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
20,2.0,2.0,4.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
20,2.0,2.0,5.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
25,2.0,2.0,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
25,2.0,2.0,4.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
25,2.0,1.5,4.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
25,2.0,1.5,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
25,2.0,1.5,5.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
25,2.0,2.0,5.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
20,2.0,1.5,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
20,2.0,2.0,3.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
15,2.0,1.5,4.0,1,0.012500770347733003,0.7175284071356764,-0.7050276367879434,0.0,0.0,100.0,0.0,1,1,0,0.5
10,1.5,2.5,5.0,2,-0.04707856111176678,2.0700233715111063,-2.117101932622873,0.5,0.9823878672526651,50.0,50.0,3,2,1,1.0
10,1.5,2.0,5.0,2,-0.20707856111177092,2.069383371511106,-2.276461932622877,0.5,0.9225317209935702,50.0,50.0,3,2,1,1.0
10,1.5,1.5,5.0,2,-0.2991245582990083,2.069015187522357,-2.3681397458213653,0.5,0.8880972293047991,50.0,50.0,3,2,1,1.0
10,1.5,2.5,4.0,2,-0.3670785611117626,2.068743371511106,-2.4358219326228685,0.5,0.8626755747344799,50.0,50.0,3,2,1,1.0
10,1.5,2.0,4.0,2,-0.5270785611117672,2.068103371511106,-2.5951819326228733,0.5,0.8028194284753848,50.0,50.0,3,2,1,1.0
10,1.5,2.5,3.0,2,-0.5511705554862432,2.0680070035336082,-2.6191775590198514,0.5,0.7938065913569354,50.0,50.0,3,2,1,1.0
10,1.5,1.5,4.0,2,-0.6191245582990041,2.067735187522357,-2.6868597458213612,0.5,0.7683849367866138,50.0,50.0,3,2,1,1.0
10,1.5,2.0,3.0,2,-0.7111705554862475,2.067367003533608,-2.7785375590198558,0.5,0.7339504450978405,50.0,50.0,3,2,1,1.0
10,1.5,1.5,3.0,2,-0.8032165526734845,2.0669988195448594,-2.8702153722183437,0.5,0.6995159534090695,50.0,50.0,3,2,1,1.0
15,1.5,2.5,3.0,2,-0.8470668739269374,2.065417547256712,-2.91248442118365,0.5,0.6831115081437262,50.0,50.0,3,2,1,1.0
10,1.0,2.5,5.0,6,3.276412170290695,6.237411297362326,-2.9609991270716307,0.5,1.5415094592506298,50.0,50.0,6,6,0,3.0
15,1.5,2.0,3.0,2,-1.0070668739269406,2.0647775472567123,-3.071844421183653,0.5,0.6232553618846317,50.0,50.0,3,2,1,1.0
15,1.5,1.5,3.0,2,-1.0713271549428924,2.0645205061326486,-3.135847661075541,0.5,0.5992155320149988,50.0,50.0,3,2,1,1.0
15,1.5,2.5,5.0,2,-1.9985463118950382,1.9008116295048398,-3.8993579413998782,0.0,0.2523419978102431,50.0,0.0,3,2,1,1.0
15,1.5,2.5,4.0,2,-1.9985463118950382,1.9008116295048398,-3.8993579413998782,0.0,0.2523419978102431,50.0,0.0,3,2,1,1.0
10,1.0,2.5,4.0,6,2.316412170290705,6.233571297362325,-3.9171591270716206,0.5,1.3828453309720206,50.0,50.0,6,6,0,3.0
15,1.5,2.0,5.0,2,-2.158546311895041,1.9001716295048399,-4.058717941399881,0.0,0.19248585155114856,50.0,0.0,3,2,1,1.0
15,1.5,2.0,4.0,2,-2.158546311895041,1.9001716295048399,-4.058717941399881,0.0,0.19248585155114856,50.0,0.0,3,2,1,1.0
15,1.5,1.5,5.0,2,-2.222806592910993,1.899914588380776,-4.1227211812917695,0.0,0.16844602168151568,50.0,0.0,3,2,1,1.0
15,1.5,1.5,4.0,2,-2.222806592910993,1.899914588380776,-4.1227211812917695,0.0,0.16844602168151568,50.0,0.0,3,2,1,1.0
10,1.0,1.5,5.0,7,2.0307872086853602,6.313574481658231,-4.282787272972872,0.2857142857142857,1.495866999854706,71.42857142857143,28.57142857142857,9,7,2,3.5
20,1.5,2.5,4.0,2,-2.4835386261967884,1.8969316909904257,-4.380470317187214,0.0,0.07090592968910701,50.0,0.0,3,2,1,1.0
20,1.5,2.5,5.0,2,-2.4835386261967884,1.8969316909904257,-4.380470317187214,0.0,0.07090592968910701,50.0,0.0,3,2,1,1.0
25,1.5,2.5,5.0,2,-2.4835386261967884,1.8969316909904257,-4.380470317187214,0.0,0.07090592968910701,50.0,0.0,3,2,1,1.0
25,1.5,2.5,3.0,2,-2.4835386261967884,1.8969316909904257,-4.380470317187214,0.0,0.07090592968910701,50.0,0.0,3,2,1,1.0
20,1.5,2.5,3.0,2,-2.4835386261967884,1.8969316909904257,-4.380470317187214,0.0,0.07090592968910701,50.0,0.0,3,2,1,1.0
25,1.5,2.5,4.0,2,-2.4835386261967884,1.8969316909904257,-4.380470317187214,0.0,0.07090592968910701,50.0,0.0,3,2,1,1.0
30,2.0,1.5,5.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,2.0,5.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,2.5,3.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,1.5,3.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,1.5,4.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,2.0,4.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,2.5,5.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,2.0,3.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
30,2.0,2.5,4.0,1,-3.214498783881751,1.174284009728946,-4.388782793610697,0.0,0.0,0.0,0.0,1,1,0,0.5
10,2.0,2.5,4.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
10,2.0,2.5,3.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
25,2.0,2.5,4.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
20,2.0,2.5,4.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
15,2.0,2.5,4.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
15,2.0,2.5,5.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
20,2.0,2.5,5.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
20,2.0,2.5,3.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
25,2.0,2.5,5.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
25,2.0,2.5,3.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
10,2.0,2.5,5.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
15,2.0,2.5,3.0,1,-3.214498783881766,1.1742840097289458,-4.388782793610712,0.0,0.0,0.0,0.0,1,1,0,0.5
25,1.5,2.0,3.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
20,1.5,2.0,3.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
20,1.5,2.0,5.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
20,1.5,1.5,5.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
20,1.5,1.5,3.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
20,1.5,1.5,4.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
20,1.5,2.0,4.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
25,1.5,1.5,3.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
25,1.5,1.5,4.0,2,-2.626999034691736,1.8963578493564461,-4.523356884048182,0.0,0.017237259731214212,50.0,0.0,3,2,1,1.0
