time,low,high,open,close,volume
2025-12-02 23:50:00,91308.0,91458.77,91428.52,91324.01,12.18105204
2025-12-02 23:55:00,91270.23,91394.0,91326.72,91308.05,14.80811441
2025-12-03 00:00:00,91258.64,91430.3,91308.05,91258.65,15.53218316
2025-12-03 00:05:00,91195.32,91533.91,91258.64,91491.95,20.48170076
2025-12-03 00:10:00,91331.62,91563.0,91485.41,91336.06,21.59371348
2025-12-03 00:15:00,91322.62,91525.99,91336.06,91462.0,14.56284787
2025-12-03 00:20:00,91364.13,91483.99,91462.01,91383.43,9.7643433
2025-12-03 00:25:00,91141.5,91400.0,91383.43,91218.01,22.53747044
2025-12-03 00:30:00,91031.39,91210.98,91210.53,91083.92,16.96856941
2025-12-03 00:35:00,91024.47,91220.29,91083.91,91171.67,25.31005263
2025-12-03 00:40:00,91157.52,91521.51,91171.66,91513.23,24.27140906
2025-12-03 00:45:00,91425.82,91658.0,91515.12,91658.0,23.9575422
2025-12-03 00:50:00,91581.25,91783.47,91658.0,91582.03,18.43649344
2025-12-03 00:55:00,91435.24,91712.89,91584.58,91684.58,30.98801194
2025-12-03 01:00:00,91482.26,91725.49,91684.59,91492.9,9.1001095
2025-12-03 01:05:00,91492.43,91730.15,91492.89,91599.2,21.33232251
2025-12-03 01:10:00,91598.49,91866.11,91600.01,91736.67,13.57049444
2025-12-03 01:15:00,91661.32,91887.15,91735.42,91887.15,18.40441511
2025-12-03 01:20:00,91840.29,91968.27,91880.16,91908.22,21.68459742
2025-12-03 01:25:00,91783.2,91998.0,91908.22,91915.66,28.97409043
2025-12-03 01:30:00,91854.81,92045.67,91915.65,91967.2,44.13744585
2025-12-03 01:35:00,91864.17,91983.88,91971.65,91864.86,21.75606724
2025-12-03 01:40:00,91855.08,91999.99,91864.18,91987.99,16.79413976
2025-12-03 01:45:00,91970.31,92299.99,91988.0,92249.55,78.76616267
2025-12-03 01:50:00,92234.19,92499.0,92249.55,92339.89,83.01529086
2025-12-03 01:55:00,92137.03,92356.09,92339.55,92268.9,21.41987065
2025-12-03 02:00:00,92203.16,92695.46,92268.89,92579.77,58.31801937
2025-12-03 02:05:00,92174.71,92602.81,92579.77,92235.13,29.06951913
2025-12-03 02:10:00,92232.05,92906.99,92232.06,92888.0,74.3413694
2025-12-03 02:15:00,92638.5,92933.29,92888.0,92666.04,54.63077255
2025-12-03 02:20:00,92614.53,92940.0,92666.04,92918.0,94.25670847
2025-12-03 02:25:00,92808.39,93060.0,92918.0,92812.89,43.69770974
2025-12-03 02:30:00,92659.84,92864.99,92812.92,92684.01,40.40686832
2025-12-03 02:35:00,92603.32,92793.08,92684.02,92693.9,38.79578214
2025-12-03 02:40:00,92645.53,92777.56,92692.65,92672.34,18.49672777
2025-12-03 02:45:00,92302.8,92692.25,92673.97,92534.01,53.43276699
2025-12-03 02:50:00,92518.36,92684.99,92534.02,92676.0,15.77425263
2025-12-03 02:55:00,92668.0,92870.39,92670.92,92824.0,20.11458767
2025-12-03 03:00:00,92724.01,93100.0,92828.11,92777.6,33.11107502
2025-12-03 03:05:00,92600.0,92790.35,92777.6,92767.01,39.43890809
2025-12-03 03:10:00,92692.0,92824.68,92770.85,92776.0,24.01427206
2025-12-03 03:15:00,92641.4,92865.61,92772.88,92843.53,23.60255677
2025-12-03 03:20:00,92721.05,92852.93,92843.53,92739.55,12.11092175
2025-12-03 03:25:00,92736.02,92881.22,92739.57,92847.73,17.67605681
2025-12-03 03:30:00,92734.27,92857.65,92847.94,92745.99,13.1479324
2025-12-03 03:35:00,92716.36,92800.0,92745.99,92779.94,28.71478515
2025-12-03 03:40:00,92681.58,92789.26,92777.4,92744.03,35.10597428
2025-12-03 03:45:00,92688.7,92800.0,92744.04,92772.04,19.3554687
2025-12-03 03:50:00,92714.82,92797.09,92774.02,92740.02,19.32455209
2025-12-03 03:55:00,92642.45,92754.02,92740.02,92644.18,12.55215308
2025-12-03 04:00:00,92633.0,92736.13,92644.18,92720.19,21.02022902
2025-12-03 04:05:00,92720.66,92876.28,92720.66,92857.65,15.07720683
2025-12-03 04:10:00,92857.65,93003.65,92866.03,92884.46,26.17842363
2025-12-03 04:15:00,92800.0,92958.13,92884.46,92923.97,17.62271981
2025-12-03 04:20:00,92862.37,93036.11,92923.96,93014.03,19.60625936
2025-12-03 04:25:00,92767.68,93326.96,93014.03,92832.0,160.8955504
2025-12-03 04:30:00,92805.62,93079.01,92833.2,93079.01,30.45136026
2025-12-03 04:35:00,92909.46,93160.0,93079.02,93067.99,33.79650331
2025-12-03 04:40:00,92950.03,93088.43,93067.42,92972.18,25.2766455
2025-12-03 04:45:00,92908.74,93121.98,92972.18,93056.7,20.79526661
2025-12-03 04:50:00,92956.57,93159.48,93056.71,93159.45,18.94198089
2025-12-03 04:55:00,93097.87,93485.3,93159.44,93376.01,131.00576266
2025-12-03 05:00:00,93220.33,93396.0,93361.63,93353.12,61.9323657
2025-12-03 05:05:00,93290.98,93582.99,93353.12,93524.02,68.0749552
2025-12-03 05:10:00,93314.55,93528.04,93522.03,93337.99,35.28513977
2025-12-03 05:15:00,93184.09,93363.3,93334.62,93191.99,39.64787234
2025-12-03 05:20:00,93130.2,93332.0,93192.0,93277.53,36.7040936
2025-12-03 05:25:00,93264.13,93433.63,93282.05,93357.99,23.84500156
2025-12-03 05:30:00,93264.15,93486.0,93358.0,93450.02,38.10711815
2025-12-03 05:35:00,93371.07,93661.61,93450.02,93629.65,52.14762891
2025-12-03 05:40:00,93412.34,93680.39,93628.25,93449.46,38.53699421
2025-12-03 05:45:00,93404.02,93602.0,93446.04,93594.0,17.31597862
2025-12-03 05:50:00,93460.67,93685.19,93590.05,93526.18,35.89884526
2025-12-03 05:55:00,93522.5,93671.99,93522.51,93658.47,18.93694154
2025-12-03 06:00:00,93588.12,93900.0,93658.48,93813.78,46.68982686
2025-12-03 06:05:00,93720.71,93870.47,93813.78,93819.99,37.65929714
2025-12-03 06:10:00,93651.47,93837.32,93823.19,93711.05,23.58240726
2025-12-03 06:15:00,93686.62,93911.0,93712.72,93859.6,31.85402157
2025-12-03 06:20:00,93740.01,93978.53,93851.46,93978.06,43.00885079
2025-12-03 06:25:00,93850.3,93972.0,93972.0,93953.99,23.31888208
2025-12-03 06:30:00,93820.22,93953.99,93953.99,93837.36,17.54862608
2025-12-03 06:35:00,93753.52,93944.97,93837.36,93768.01,31.35684267
2025-12-03 06:40:00,93305.14,93772.01,93768.01,93328.66,66.97188601
2025-12-03 06:45:00,93140.16,93335.98,93328.66,93252.03,36.55669709
2025-12-03 06:50:00,93234.46,93418.77,93252.03,93339.81,33.93421868
2025-12-03 06:55:00,93293.58,93474.66,93339.81,93464.03,21.60382814
2025-12-03 07:00:00,93292.03,93492.9,93460.03,93355.53,27.74142125
2025-12-03 07:05:00,93267.44,93380.24,93355.53,93319.49,19.43093733
2025-12-03 07:10:00,93218.64,93364.3,93319.04,93218.64,27.34140677
2025-12-03 07:15:00,92885.93,93220.88,93220.88,92902.09,60.47105131
2025-12-03 07:20:00,92902.93,93168.98,92902.93,93155.22,32.42511927
2025-12-03 07:25:00,93024.52,93215.6,93155.22,93057.99,15.73807265
2025-12-03 07:30:00,93021.4,93153.63,93057.99,93049.99,14.40292316
2025-12-03 07:35:00,92962.49,93085.99,93046.08,93059.98,14.5485831
2025-12-03 07:40:00,93027.21,93140.24,93059.99,93117.23,17.39129554
2025-12-03 07:45:00,92924.52,93117.22,93117.22,93073.98,16.73849744
2025-12-03 07:50:00,92960.01,93074.01,93073.99,93042.04,13.81678904
2025-12-03 07:55:00,92981.98,93057.69,93038.47,93026.22,9.13067104
2025-12-03 08:00:00,93013.05,93125.06,93026.04,93111.62,12.01533906
2025-12-03 08:05:00,92909.13,93211.69,93111.62,92955.43,11.04597703
2025-12-03 08:10:00,92955.43,93089.64,92955.43,93007.01,12.07476104
2025-12-03 08:15:00,92846.94,93019.99,93007.01,92861.31,15.06664107
2025-12-03 08:20:00,92842.33,92928.87,92861.28,92880.03,10.96732517
2025-12-03 08:25:00,92847.0,92950.65,92880.03,92938.95,10.93920239
